"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"1086","PBSP",2020,"Apr",12,2614,4.59066564651875
"1087","SAC",2020,"Apr",47,2390,19.6652719665272
"1088","SVSP",2020,"Apr",45,2916,15.4320987654321
"1089","CCI",2020,"May",38,3679,10.3288937211199
"1090","COR",2020,"May",26,3780,6.87830687830688
"1091","HDSP",2020,"May",33,3465,9.52380952380953
"1092","KVSP",2020,"May",31,3692,8.39653304442037
"1093","LAC",2020,"May",35,3192,10.9649122807018
"1094","PBSP",2020,"May",11,2587,4.25202937765752
"1095","SAC",2020,"May",77,2373,32.4483775811209
"1096","SVSP",2020,"May",45,2945,15.2801358234295
"1097","CCI",2020,"Jun",53,3736,14.186295503212
"1098","COR",2020,"Jun",23,3618,6.35710337202875
"1099","HDSP",2020,"Jun",33,3589,9.19476177208136
"1100","KVSP",2020,"Jun",40,3748,10.6723585912487
"1101","LAC",2020,"Jun",22,3149,6.98634487138774
"1102","PBSP",2020,"Jun",8,2535,3.15581854043392
"1103","SAC",2020,"Jun",54,2394,22.5563909774436
"1104","SVSP",2020,"Jun",51,2938,17.358747447243
"1105","CCI",2020,"Jul",27,3472,7.77649769585253
"1106","COR",2020,"Jul",15,3497,4.28939090649128
"1107","HDSP",2020,"Jul",28,3480,8.04597701149425
"1108","KVSP",2020,"Jul",35,3631,9.63921784632333
"1109","LAC",2020,"Jul",23,3114,7.38599871547848
"1110","PBSP",2020,"Jul",11,2444,4.50081833060556
"1111","SAC",2020,"Jul",60,2354,25.4885301614274
"1112","SVSP",2020,"Jul",34,2863,11.8756549074397
"1113","CCI",2020,"Aug",25,3346,7.47160789001793
"1114","COR",2020,"Aug",14,3363,4.16294974724948
"1115","HDSP",2020,"Aug",24,3375,7.11111111111111
"1116","KVSP",2020,"Aug",26,3577,7.26866088901314
"1117","LAC",2020,"Aug",19,3067,6.19497880665145
"1118","PBSP",2020,"Aug",10,2394,4.17710944026734
"1119","SAC",2020,"Aug",57,2292,24.869109947644
"1120","SVSP",2020,"Aug",40,2801,14.2806140664049
"1121","CCI",2020,"Sep",22,3137,7.01306981192222
"1122","COR",2020,"Sep",15,3285,4.5662100456621
"1123","HDSP",2020,"Sep",27,3379,7.99052974252737
"1124","KVSP",2020,"Sep",25,3582,6.97934115019542
"1125","LAC",2020,"Sep",28,3023,9.26232219649355
"1126","PBSP",2020,"Sep",7,2333,3.00042863266181
"1127","SAC",2020,"Sep",49,2283,21.4629872974157
"1128","SVSP",2020,"Sep",33,2804,11.7689015691869
"1129","CCI",2020,"Oct",27,3034,8.89914304548451
"1130","COR",2020,"Oct",15,3013,4.97842681712579
"1131","HDSP",2020,"Oct",33,3367,9.8010098010098
"1132","KVSP",2020,"Oct",33,3691,8.94066648604714
"1133","LAC",2020,"Oct",21,2870,7.31707317073171
"1134","PBSP",2020,"Oct",6,2307,2.60078023407022
"1135","SAC",2020,"Oct",60,2290,26.2008733624454
"1136","SVSP",2020,"Oct",38,2844,13.3614627285513
"1137","CCI",2020,"Nov",28,3017,9.28074245939675
"1138","COR",2020,"Nov",10,3025,3.30578512396694
"1139","HDSP",2020,"Nov",12,3366,3.5650623885918
"1140","KVSP",2020,"Nov",22,3711,5.92832120722177
"1141","LAC",2020,"Nov",29,2807,10.3313145707161
"1142","PBSP",2020,"Nov",9,2261,3.98053958425475
"1143","SAC",2020,"Nov",44,2291,19.2055870798778
"1144","SVSP",2020,"Nov",40,2865,13.9616055846422
"1145","CCI",2020,"Dec",20,2948,6.7842605156038
"1146","COR",2020,"Dec",10,2972,3.36473755047106
"1147","HDSP",2020,"Dec",11,3337,3.29637398861253
"1148","KVSP",2020,"Dec",19,3687,5.15324111743965
"1149","LAC",2020,"Dec",18,2778,6.47948164146868
"1150","PBSP",2020,"Dec",5,2228,2.24416517055655
"1151","SAC",2020,"Dec",48,2272,21.1267605633803
"1152","SVSP",2020,"Dec",30,2851,10.5226236408278
"1153","CCI",2021,"Jan",18,2960,6.08108108108108
"1154","COR",2021,"Jan",9,2973,3.02724520686176
"1155","HDSP",2021,"Jan",21,3326,6.31389055923031
"1156","KVSP",2021,"Jan",45,3696,12.1753246753247
"1157","LAC",2021,"Jan",20,2747,7.28066982162359
"1158","PBSP",2021,"Jan",9,2210,4.07239819004525
"1159","SAC",2021,"Jan",37,2277,16.2494510320597
"1160","SVSP",2021,"Jan",35,2935,11.9250425894378
"1161","CCI",2021,"Feb",21,2941,7.14042842570554
"1162","COR",2021,"Feb",17,3010,5.64784053156146
"1163","HDSP",2021,"Feb",22,3319,6.62850256101235
"1164","KVSP",2021,"Feb",39,3691,10.566242210783
"1165","LAC",2021,"Feb",20,2725,7.3394495412844
"1166","PBSP",2021,"Feb",10,2201,4.54338936846888
"1167","SAC",2021,"Feb",46,2274,20.2286719437115
"1168","SVSP",2021,"Feb",61,3023,20.1786304995038
"1169","CCI",2021,"Mar",24,2925,8.2051282051282
"1170","COR",2021,"Mar",16,3056,5.23560209424084
"1171","HDSP",2021,"Mar",28,3325,8.42105263157895
"1172","KVSP",2021,"Mar",43,3700,11.6216216216216
"1173","LAC",2021,"Mar",23,2730,8.42490842490843
"1174","PBSP",2021,"Mar",14,2172,6.44567219152855
"1175","SAC",2021,"Mar",45,2267,19.8500220555801
"1176","SVSP",2021,"Mar",66,3090,21.3592233009709
"1177","CCI",2021,"Apr",20,2984,6.70241286863271
"1178","COR",2021,"Apr",22,3118,7.05580500320718
"1179","HDSP",2021,"Apr",34,3340,10.1796407185629
"1180","KVSP",2021,"Apr",31,3649,8.4954782132091
"1181","LAC",2021,"Apr",24,2791,8.59906843425296
"1182","PBSP",2021,"Apr",3,2149,1.39599813866915
"1183","SAC",2021,"Apr",43,2240,19.1964285714286
"1184","SVSP",2021,"Apr",64,3091,20.7052733743125
"1185","CCI",2021,"May",27,2979,9.06344410876133
"1186","COR",2021,"May",27,3171,8.51466414380322
"1187","HDSP",2021,"May",38,3298,11.5221346270467
"1188","KVSP",2021,"May",27,3571,7.56090730887706
"1189","LAC",2021,"May",30,2819,10.6420716566158
"1190","PBSP",2021,"May",17,2105,8.07600950118765
"1191","SAC",2021,"May",58,2221,26.1143628995948
"1192","SVSP",2021,"May",63,3065,20.5546492659054
"1193","CCI",2021,"Jun",22,3013,7.30169266511782
"1194","COR",2021,"Jun",19,3288,5.77858880778589
"1195","HDSP",2021,"Jun",32,3319,9.64145827056342
"1196","KVSP",2021,"Jun",32,3531,9.06258850184084
"1197","LAC",2021,"Jun",19,2806,6.7712045616536
"1198","PBSP",2021,"Jun",7,2129,3.28792860497886
"1199","SAC",2021,"Jun",43,2166,19.8522622345337
"1200","SVSP",2021,"Jun",61,3047,20.0196914998359
"1201","CCI",2021,"Jul",22,2869,7.66817706517951
"1202","COR",2021,"Jul",16,3270,4.89296636085627
"1203","HDSP",2021,"Jul",19,3255,5.83717357910906
"1204","KVSP",2021,"Jul",33,3497,9.43665999428081
"1205","LAC",2021,"Jul",45,2771,16.2396246842295
"1206","PBSP",2021,"Jul",16,2147,7.45225896599907
"1207","SAC",2021,"Jul",42,2118,19.8300283286119
"1208","SVSP",2021,"Jul",65,3044,21.353482260184
"1209","CCI",2021,"Aug",26,2817,9.22967696130635
"1210","COR",2021,"Aug",18,3418,5.26623756582797
"1211","HDSP",2021,"Aug",21,3261,6.43974241030359
"1212","KVSP",2021,"Aug",32,3517,9.09866363377879
"1213","LAC",2021,"Aug",28,2782,10.0647016534867
"1214","PBSP",2021,"Aug",4,2136,1.87265917602996
"1215","SAC",2021,"Aug",39,2113,18.4571699006152
"1216","SVSP",2021,"Aug",63,3042,20.7100591715976
"1217","CCI",2021,"Sep",23,2719,8.45899227657227
"1218","COR",2021,"Sep",32,3464,9.2378752886836
"1219","HDSP",2021,"Sep",23,3246,7.0856438693777
"1220","KVSP",2021,"Sep",23,3493,6.5845977669625
"1221","LAC",2021,"Sep",40,2821,14.1793690180787
"1222","PBSP",2021,"Sep",8,2101,3.80771061399334
"1223","SAC",2021,"Sep",38,2059,18.4555609519184
"1224","SVSP",2021,"Sep",44,3032,14.5118733509235
"1225","CCI",2021,"Oct",15,2678,5.60119492158327
"1226","COR",2021,"Oct",22,3521,6.2482249360977
"1227","HDSP",2021,"Oct",31,3229,9.60049550944565
"1228","KVSP",2021,"Oct",16,3480,4.59770114942529
"1229","LAC",2021,"Oct",46,2816,16.3352272727273
"1230","PBSP",2021,"Oct",13,2061,6.30761766132945
"1231","SAC",2021,"Oct",51,2044,24.9510763209393
"1232","SVSP",2021,"Oct",78,3000,26
"1233","CCI",2021,"Nov",24,2703,8.87902330743618
"1234","COR",2021,"Nov",17,3657,4.64861908668307
"1235","HDSP",2021,"Nov",34,2984,11.3941018766756
"1236","KVSP",2021,"Nov",24,3449,6.95853870687156
"1237","LAC",2021,"Nov",41,2773,14.7854309412189
"1238","PBSP",2021,"Nov",12,2041,5.87947084762371
"1239","SAC",2021,"Nov",64,2028,31.5581854043393
"1240","SVSP",2021,"Nov",49,3041,16.1131206839855
"1241","CCI",2021,"Dec",39,3100,12.5806451612903
"1242","COR",2021,"Dec",37,3651,10.1342098055327
"1243","HDSP",2021,"Dec",16,2349,6.81140911025969
"1244","KVSP",2021,"Dec",26,3426,7.58902510215995
"1245","LAC",2021,"Dec",44,2819,15.6083717630365
"1246","PBSP",2021,"Dec",11,2005,5.48628428927681
"1247","SAC",2021,"Dec",44,1943,22.6453937210499
"1248","SVSP",2021,"Dec",57,3062,18.6152841280209
"1249","CCI",2022,"Jan",46,3071,14.9788342559427
"1250","COR",2022,"Jan",30,3532,8.49377123442808
"1251","HDSP",2022,"Jan",7,2269,3.08505949757603
"1252","KVSP",2022,"Jan",22,3376,6.51658767772512
"1253","LAC",2022,"Jan",32,2805,11.4081996434938
"1254","PBSP",2022,"Jan",8,1951,4.10046130189646
"1255","SAC",2022,"Jan",42,1860,22.5806451612903
"1256","SVSP",2022,"Jan",38,3032,12.532981530343
"1257","CCI",2022,"Feb",26,3157,8.23566677225214
"1258","COR",2022,"Feb",20,3484,5.74052812858783
"1259","HDSP",2022,"Feb",10,2259,4.42673749446658
"1260","KVSP",2022,"Feb",27,3404,7.93184488836663
"1261","LAC",2022,"Feb",57,2794,20.4008589835361
"1262","PBSP",2022,"Feb",4,1935,2.0671834625323
"1263","SAC",2022,"Feb",23,1827,12.5889436234264
"1264","SVSP",2022,"Feb",54,3022,17.8689609530112
"1265","CCI",2022,"Mar",39,3152,12.3730964467005
"1266","COR",2022,"Mar",26,3467,7.4992789154889
"1267","HDSP",2022,"Mar",31,2285,13.5667396061269
"1268","KVSP",2022,"Mar",24,3323,7.2223894071622
"1269","LAC",2022,"Mar",41,2799,14.6480886030725
"1270","PBSP",2022,"Mar",14,1872,7.47863247863248
"1271","SAC",2022,"Mar",38,1778,21.3723284589426
"1272","SVSP",2022,"Mar",48,2923,16.4214847759152
"1273","CCI",2022,"Apr",52,3150,16.5079365079365
"1274","COR",2022,"Apr",37,3457,10.7029216083309
"1275","HDSP",2022,"Apr",22,2401,9.16284881299459
"1276","KVSP",2022,"Apr",36,3259,11.0463332310525
"1277","LAC",2022,"Apr",51,2697,18.9098998887653
"1278","PBSP",2022,"Apr",12,1839,6.5252854812398
"1279","SAC",2022,"Apr",41,1948,21.047227926078
"1280","SVSP",2022,"Apr",49,2920,16.7808219178082
"1281","CCI",2022,"May",39,3069,12.7077223851417
"1282","COR",2022,"May",42,3481,12.0654984199943
"1283","HDSP",2022,"May",23,2204,10.4355716878403
"1284","KVSP",2022,"May",36,3147,11.4394661582459
"1285","LAC",2022,"May",43,2656,16.1897590361446
"1286","PBSP",2022,"May",3,1747,1.71722953634803
"1287","SAC",2022,"May",57,2010,28.3582089552239
"1288","SVSP",2022,"May",68,2928,23.224043715847
"1289","CCI",2022,"Jun",28,3051,9.17731891183219
"1290","COR",2022,"Jun",62,3466,17.8880553952683
"1291","HDSP",2022,"Jun",18,1968,9.14634146341463
"1292","KVSP",2022,"Jun",38,3045,12.4794745484401
"1293","LAC",2022,"Jun",66,2378,27.7544154751892
"1294","PBSP",2022,"Jun",11,1696,6.48584905660377
"1295","SAC",2022,"Jun",56,2108,26.5654648956357
"1296","SVSP",2022,"Jun",42,2974,14.1223940820444
"1297","CCI",2022,"Jul",32,2998,10.6737825216811
"1298","COR",2022,"Jul",35,3476,10.0690448791715
"1299","HDSP",2022,"Jul",10,1859,5.37923614846692
"1300","KVSP",2022,"Jul",31,2965,10.4553119730185
"1301","LAC",2022,"Jul",64,2371,26.9928300295234
"1302","PBSP",2022,"Jul",9,1684,5.34441805225653
"1303","SAC",2022,"Jul",53,2077,25.5175734232065
"1304","SVSP",2022,"Jul",54,3003,17.982017982018
"1305","CCI",2022,"Aug",38,2960,12.8378378378378
"1306","COR",2022,"Aug",39,3433,11.3603262452665
"1307","HDSP",2022,"Aug",22,1819,12.0945574491479
"1308","KVSP",2022,"Aug",37,2878,12.8561501042391
"1309","LAC",2022,"Aug",59,2400,24.5833333333333
"1310","PBSP",2022,"Aug",8,1692,4.72813238770686
"1311","SAC",2022,"Aug",71,2083,34.0854536725876
"1312","SVSP",2022,"Aug",71,3036,23.3860342555995
"1313","CCI",2022,"Sep",38,2957,12.8508623605005
"1314","COR",2022,"Sep",33,3416,9.66042154566745
"1315","HDSP",2022,"Sep",17,1770,9.6045197740113
"1316","KVSP",2022,"Sep",33,2680,12.3134328358209
"1317","LAC",2022,"Sep",50,2413,20.7210940737671
"1318","PBSP",2022,"Sep",11,1757,6.26067159931702
"1319","SAC",2022,"Sep",66,1996,33.0661322645291
"1320","SVSP",2022,"Sep",49,3026,16.1929940515532
"1321","CCI",2022,"Oct",41,2890,14.1868512110727
"1322","COR",2022,"Oct",45,3323,13.5419801384291
"1323","HDSP",2022,"Oct",9,2382,3.77833753148615
"1324","KVSP",2022,"Oct",22,2611,8.42589046342398
"1325","LAC",2022,"Oct",52,2445,21.2678936605317
"1326","PBSP",2022,"Oct",18,1783,10.0953449242849
"1327","SAC",2022,"Oct",40,1971,20.2942668696093
"1328","SVSP",2022,"Oct",53,3028,17.5033025099075
"1329","CCI",2022,"Nov",38,2806,13.5424091233072
"1330","COR",2022,"Nov",44,3267,13.4680134680135
"1331","HDSP",2022,"Nov",9,2331,3.86100386100386
"1332","KVSP",2022,"Nov",18,2533,7.10619818397157
"1333","LAC",2022,"Nov",65,2479,26.2202501008471
"1334","PBSP",2022,"Nov",18,1817,9.90643918547056
"1335","SAC",2022,"Nov",54,1935,27.906976744186
"1336","SVSP",2022,"Nov",70,3047,22.9734164752215
"1337","CCI",2022,"Dec",29,2725,10.6422018348624
"1338","COR",2022,"Dec",62,3387,18.3052849129023
"1339","HDSP",2022,"Dec",8,2407,3.32363938512671
"1340","KVSP",2022,"Dec",26,2485,10.4627766599598
"1341","LAC",2022,"Dec",51,2523,20.2140309155767
"1342","PBSP",2022,"Dec",21,1770,11.864406779661
"1343","SAC",2022,"Dec",44,1782,24.6913580246914
"1344","SVSP",2022,"Dec",42,3046,13.7885751805647
"1345","CCI",2023,"Jan",34,2651,12.825348924934
"1346","COR",2023,"Jan",73,3497,20.8750357449242
"1347","HDSP",2023,"Jan",10,2123,4.71031559114461
"1348","KVSP",2023,"Jan",17,2496,6.81089743589744
"1349","LAC",2023,"Jan",59,2554,23.1010180109632
"1350","PBSP",2023,"Jan",20,1740,11.4942528735632
"1351","SAC",2023,"Jan",50,1640,30.4878048780488
"1352","SVSP",2023,"Jan",48,3012,15.9362549800797
"1353","CCI",2023,"Feb",44,2572,17.1073094867807
"1354","COR",2023,"Feb",51,3484,14.638346727899
"1355","HDSP",2023,"Feb",9,2020,4.45544554455445
"1356","KVSP",2023,"Feb",20,2481,8.06126561870214
"1357","LAC",2023,"Feb",74,2570,28.7937743190661
"1358","PBSP",2023,"Feb",12,1713,7.00525394045534
"1359","SAC",2023,"Feb",44,1586,27.7427490542245
"1360","SVSP",2023,"Feb",41,3053,13.429413691451
"1361","CCI",2023,"Mar",19,2383,7.97314309693663
"1362","COR",2023,"Mar",59,3463,17.0372509384926
"1363","HDSP",2023,"Mar",26,2352,11.0544217687075
"1364","KVSP",2023,"Mar",32,2591,12.3504438440756
"1365","LAC",2023,"Mar",65,2637,24.649222601441
"1366","PBSP",2023,"Mar",17,1676,10.1431980906921
"1367","SAC",2023,"Mar",61,1509,40.4241219350563
"1368","SVSP",2023,"Mar",64,2985,21.4405360134003
"1369","CCI",2023,"Apr",23,2188,10.5118829981718
"1370","COR",2023,"Apr",67,3403,19.6885101381134
"1371","HDSP",2023,"Apr",19,2573,7.38437621453556
"1372","KVSP",2023,"Apr",30,2685,11.1731843575419
"1373","LAC",2023,"Apr",68,2636,25.7966616084977
"1374","PBSP",2023,"Apr",17,1632,10.4166666666667
"1375","SAC",2023,"Apr",62,1512,41.005291005291
"1376","SVSP",2023,"Apr",57,2990,19.0635451505017
"1377","CCI",2023,"May",19,1937,9.80898296334538
"1378","COR",2023,"May",43,3337,12.885825591849
"1379","HDSP",2023,"May",12,2562,4.68384074941452
"1380","KVSP",2023,"May",32,2763,11.5816141874774
"1381","LAC",2023,"May",87,2626,33.1302361005331
"1382","PBSP",2023,"May",16,1631,9.80993255671367
"1383","SAC",2023,"May",66,1556,42.4164524421594
"1384","SVSP",2023,"May",61,2994,20.374081496326
"1385","CCI",2023,"Jun",24,1661,14.4491270319085
"1386","COR",2023,"Jun",34,3389,10.0324579521983
"1387","HDSP",2023,"Jun",16,2501,6.39744102359056
"1388","KVSP",2023,"Jun",35,2793,12.531328320802
"1389","LAC",2023,"Jun",91,2660,34.2105263157895
"1390","PBSP",2023,"Jun",9,1627,5.53165334972342
"1391","SAC",2023,"Jun",47,1759,26.7197271176805
"1392","SVSP",2023,"Jun",64,2986,21.4333556597455
"1393","CCI",2023,"Jul",23,1627,14.1364474492932
"1394","CCI",2023,"Aug",37,1657,22.3295111647556
"1395","CCI",2023,"Sep",27,1698,15.9010600706714
"1396","CCI",2023,"Oct",18,1715,10.4956268221574
"1397","CCI",2023,"Nov",28,1718,16.2980209545984
"1398","CCI",2023,"Dec",34,1750,19.4285714285714
"1399","COR",2023,"Jul",51,3448,14.7911832946636
"1400","COR",2023,"Aug",57,3525,16.1702127659574
"1401","COR",2023,"Sep",56,3491,16.0412489258092
"1402","COR",2023,"Oct",49,3505,13.9800285306705
"1403","COR",2023,"Nov",53,3479,15.2342627191722
"1404","COR",2023,"Dec",61,3463,17.614784868611
"1405","HDSP",2023,"Jul",20,2413,8.28843762950684
"1406","HDSP",2023,"Aug",26,2535,10.2564102564103
"1407","HDSP",2023,"Sep",13,2475,5.25252525252525
"1408","HDSP",2023,"Oct",21,2387,8.79765395894428
"1409","HDSP",2023,"Nov",12,2296,5.22648083623693
"1410","HDSP",2023,"Dec",11,2242,4.90633363068689
"1411","KVSP",2023,"Jul",34,2796,12.1602288984263
"1412","KVSP",2023,"Aug",51,2816,18.1107954545455
"1413","KVSP",2023,"Sep",35,2848,12.2893258426966
"1414","KVSP",2023,"Oct",44,2871,15.3256704980843
"1415","KVSP",2023,"Nov",47,2867,16.3934426229508
"1416","KVSP",2023,"Dec",46,2914,15.7858613589568
"1417","LAC",2023,"Jul",78,2631,29.6465222348917
"1418","LAC",2023,"Aug",78,2601,29.9884659746251
"1419","LAC",2023,"Sep",59,2611,22.5967062428188
"1420","LAC",2023,"Oct",82,2679,30.608435983576
"1421","LAC",2023,"Nov",85,2790,30.4659498207885
"1422","LAC",2023,"Dec",65,2808,23.1481481481481
"1423","PBSP",2023,"Jul",16,1581,10.1201771030993
"1424","PBSP",2023,"Aug",12,1530,7.84313725490196
"1425","PBSP",2023,"Sep",17,1544,11.0103626943005
"1426","PBSP",2023,"Oct",15,1576,9.51776649746193
"1427","PBSP",2023,"Nov",15,1534,9.77835723598436
"1428","PBSP",2023,"Dec",31,1524,20.3412073490814
"1429","SAC",2023,"Jul",62,1735,35.7348703170029
"1430","SAC",2023,"Aug",55,1803,30.5047143649473
"1431","SAC",2023,"Sep",41,1863,22.0075147611379
"1432","SAC",2023,"Oct",65,1841,35.3068984247691
"1433","SAC",2023,"Nov",59,1818,32.4532453245325
"1434","SAC",2023,"Dec",60,1795,33.4261838440111
"1435","SVSP",2023,"Jul",76,2832,26.8361581920904
"1436","SVSP",2023,"Aug",56,2772,20.2020202020202
"1437","SVSP",2023,"Sep",65,2738,23.7399561723886
"1438","SVSP",2023,"Oct",61,2687,22.70189802754
"1439","SVSP",2023,"Nov",60,2661,22.5479143179256
"1440","SVSP",2023,"Dec",70,2623,26.6869996187571
