Institution,Year,Month,Inmate Count
ASP,2015,Jan,4064
CAL,2015,Jan,3747
CCC,2015,Jan,4462
CCI,2015,Jan,4189
CEN,2015,Jan,3215
CHCF,2015,Jan,1951
CIM,2015,Jan,4278
CMC,2015,Jan,4037
CMF,2015,Jan,2129
COR,2015,Jan,4077
CRC,2015,Jan,2473
CTF,2015,Jan,4592
CVSP,2015,Jan,2222
DVI,2015,Jan,2372
FOL,2015,Jan,2499
HDSP,2015,Jan,3494
ISP,2015,Jan,3095
KVSP,2015,Jan,3774
LAC,2015,Jan,3512
MCSP,2015,Jan,2838
NKSP,2015,Jan,4121
PBSP,2015,Jan,2631
PVSP,2015,Jan,3232
RJD,2015,Jan,3063
SAC,2015,Jan,2177
SATF,2015,Jan,5370
SCC,2015,Jan,4372
SOL,2015,Jan,3889
SQ,2015,Jan,4096
SVSP,2015,Jan,3592
VSP,2015,Jan,3112
WSP,2015,Jan,4859
ASP,2015,Feb,3992
CAL,2015,Feb,3726
CCC,2015,Feb,4344
CCI,2015,Feb,4250
CEN,2015,Feb,3255
CHCF,2015,Feb,1943
CIM,2015,Feb,4150
CMC,2015,Feb,3950
CMF,2015,Feb,2114
COR,2015,Feb,4000
CRC,2015,Feb,2483
CTF,2015,Feb,4628
CVSP,2015,Feb,2132
DVI,2015,Feb,2400
FOL,2015,Feb,2447
HDSP,2015,Feb,3478
ISP,2015,Feb,3179
KVSP,2015,Feb,3707
LAC,2015,Feb,3481
MCSP,2015,Feb,2843
NKSP,2015,Feb,4031
PBSP,2015,Feb,2630
PVSP,2015,Feb,3216
RJD,2015,Feb,3017
SAC,2015,Feb,2181
SATF,2015,Feb,5401
SCC,2015,Feb,4369
SOL,2015,Feb,3877
SQ,2015,Feb,3954
SVSP,2015,Feb,3583
VSP,2015,Feb,3026
WSP,2015,Feb,4966
ASP,2015,Mar,3853
CAL,2015,Mar,3668
CCC,2015,Mar,4241
CCI,2015,Mar,4086
CEN,2015,Mar,3321
CHCF,2015,Mar,1945
CIM,2015,Mar,4049
CMC,2015,Mar,3885
CMF,2015,Mar,2123
COR,2015,Mar,4093
CRC,2015,Mar,2455
CTF,2015,Mar,4661
CVSP,2015,Mar,2223
DVI,2015,Mar,2354
FOL,2015,Mar,2414
HDSP,2015,Mar,3391
ISP,2015,Mar,3142
KVSP,2015,Mar,3732
LAC,2015,Mar,3486
MCSP,2015,Mar,2835
NKSP,2015,Mar,4214
PBSP,2015,Mar,2626
PVSP,2015,Mar,3157
RJD,2015,Mar,3015
SAC,2015,Mar,2228
SATF,2015,Mar,5416
SCC,2015,Mar,4303
SOL,2015,Mar,3810
SQ,2015,Mar,3897
SVSP,2015,Mar,3574
VSP,2015,Mar,3023
WSP,2015,Mar,4958
ASP,2015,Apr,3374
CAL,2015,Apr,3653
CCC,2015,Apr,4124
CCI,2015,Apr,3838
CEN,2015,Apr,3357
CHCF,2015,Apr,1941
CIM,2015,Apr,4045
CMC,2015,Apr,3886
CMF,2015,Apr,2151
COR,2015,Apr,4324
CRC,2015,Apr,2422
CTF,2015,Apr,4893
CVSP,2015,Apr,2233
DVI,2015,Apr,2260
FOL,2015,Apr,2392
HDSP,2015,Apr,3319
ISP,2015,Apr,3107
KVSP,2015,Apr,3747
LAC,2015,Apr,3473
MCSP,2015,Apr,2866
NKSP,2015,Apr,4356
PBSP,2015,Apr,2680
PVSP,2015,Apr,2723
RJD,2015,Apr,3032
SAC,2015,Apr,2225
SATF,2015,Apr,5515
SCC,2015,Apr,4270
SOL,2015,Apr,3835
SQ,2015,Apr,3898
SVSP,2015,Apr,3670
VSP,2015,Apr,3158
WSP,2015,Apr,4934
ASP,2015,May,3005
CAL,2015,May,3728
CCC,2015,May,4142
CCI,2015,May,3818
CEN,2015,May,3488
CHCF,2015,May,1912
CIM,2015,May,3927
CMC,2015,May,3890
CMF,2015,May,2197
COR,2015,May,4341
CRC,2015,May,2392
CTF,2015,May,4977
CVSP,2015,May,2273
DVI,2015,May,2199
FOL,2015,May,2418
HDSP,2015,May,3307
ISP,2015,May,3127
KVSP,2015,May,3716
LAC,2015,May,3503
MCSP,2015,May,2898
NKSP,2015,May,4247
PBSP,2015,May,2693
PVSP,2015,May,2511
RJD,2015,May,3107
SAC,2015,May,2266
SATF,2015,May,5611
SCC,2015,May,4247
SOL,2015,May,3850
SQ,2015,May,3787
SVSP,2015,May,3723
VSP,2015,May,3316
WSP,2015,May,5022
ASP,2015,Jun,2708
CAL,2015,Jun,3763
CCC,2015,Jun,4079
CCI,2015,Jun,3971
CEN,2015,Jun,3478
CHCF,2015,Jun,1973
CIM,2015,Jun,3864
CMC,2015,Jun,3792
CMF,2015,Jun,2261
COR,2015,Jun,4409
CRC,2015,Jun,2407
CTF,2015,Jun,5132
CVSP,2015,Jun,2269
DVI,2015,Jun,2118
FOL,2015,Jun,2379
HDSP,2015,Jun,3311
ISP,2015,Jun,3419
KVSP,2015,Jun,3630
LAC,2015,Jun,3484
MCSP,2015,Jun,2932
NKSP,2015,Jun,4384
PBSP,2015,Jun,2739
PVSP,2015,Jun,2245
RJD,2015,Jun,3132
SAC,2015,Jun,2302
SATF,2015,Jun,5565
SCC,2015,Jun,4325
SOL,2015,Jun,3862
SQ,2015,Jun,3705
SVSP,2015,Jun,3677
VSP,2015,Jun,3376
WSP,2015,Jun,4920
ASP,2015,Jul,2555
CAL,2015,Jul,3796
CCC,2015,Jul,3992
CCI,2015,Jul,3928
CEN,2015,Jul,3522
CHCF,2015,Jul,2027
CIM,2015,Jul,3794
CMC,2015,Jul,3750
CMF,2015,Jul,2394
COR,2015,Jul,4406
CRC,2015,Jul,2404
CTF,2015,Jul,5154
CVSP,2015,Jul,2246
DVI,2015,Jul,2201
FOL,2015,Jul,2340
HDSP,2015,Jul,3385
ISP,2015,Jul,3671
KVSP,2015,Jul,3605
LAC,2015,Jul,3516
MCSP,2015,Jul,2947
NKSP,2015,Jul,4479
PBSP,2015,Jul,2724
PVSP,2015,Jul,2301
RJD,2015,Jul,3167
SAC,2015,Jul,2317
SATF,2015,Jul,5533
SCC,2015,Jul,4364
SOL,2015,Jul,3838
SQ,2015,Jul,3626
SVSP,2015,Jul,3718
VSP,2015,Jul,3461
WSP,2015,Jul,4953
ASP,2015,Aug,2719
CAL,2015,Aug,3799
CCC,2015,Aug,3998
CCI,2015,Aug,3891
CEN,2015,Aug,3453
CHCF,2015,Aug,2043
CIM,2015,Aug,3781
CMC,2015,Aug,3691
CMF,2015,Aug,2519
COR,2015,Aug,4344
CRC,2015,Aug,2467
CTF,2015,Aug,5085
CVSP,2015,Aug,2068
DVI,2015,Aug,2313
FOL,2015,Aug,2361
HDSP,2015,Aug,3277
ISP,2015,Aug,3649
KVSP,2015,Aug,3694
LAC,2015,Aug,3485
MCSP,2015,Aug,2914
NKSP,2015,Aug,4379
PBSP,2015,Aug,2734
PVSP,2015,Aug,2502
RJD,2015,Aug,3180
SAC,2015,Aug,2264
SATF,2015,Aug,5465
SCC,2015,Aug,4395
SOL,2015,Aug,3810
SQ,2015,Aug,3687
SVSP,2015,Aug,3681
VSP,2015,Aug,3588
WSP,2015,Aug,4805
ASP,2015,Sep,3046
CAL,2015,Sep,3855
CCC,2015,Sep,3975
CCI,2015,Sep,3847
CEN,2015,Sep,3379
CHCF,2015,Sep,2194
CIM,2015,Sep,3583
CMC,2015,Sep,3851
CMF,2015,Sep,2584
COR,2015,Sep,4408
CRC,2015,Sep,2524
CTF,2015,Sep,5124
CVSP,2015,Sep,1826
DVI,2015,Sep,2331
FOL,2015,Sep,2357
HDSP,2015,Sep,3352
ISP,2015,Sep,3605
KVSP,2015,Sep,3747
LAC,2015,Sep,3514
MCSP,2015,Sep,2899
NKSP,2015,Sep,4444
PBSP,2015,Sep,2731
PVSP,2015,Sep,2674
RJD,2015,Sep,3113
SAC,2015,Sep,2224
SATF,2015,Sep,5540
SCC,2015,Sep,4354
SOL,2015,Sep,3843
SQ,2015,Sep,3347
SVSP,2015,Sep,3704
VSP,2015,Sep,3556
WSP,2015,Sep,4973
ASP,2015,Oct,3271
CAL,2015,Oct,3897
CCC,2015,Oct,3946
CCI,2015,Oct,3782
CEN,2015,Oct,3223
CHCF,2015,Oct,2187
CIM,2015,Oct,3554
CMC,2015,Oct,3937
CMF,2015,Oct,2558
COR,2015,Oct,4403
CRC,2015,Oct,2679
CTF,2015,Oct,5046
CVSP,2015,Oct,1850
DVI,2015,Oct,2436
FOL,2015,Oct,2445
HDSP,2015,Oct,3430
ISP,2015,Oct,3585
KVSP,2015,Oct,3807
LAC,2015,Oct,3563
MCSP,2015,Oct,2847
NKSP,2015,Oct,4109
PBSP,2015,Oct,2593
PVSP,2015,Oct,2996
RJD,2015,Oct,3064
SAC,2015,Oct,2193
SATF,2015,Oct,5499
SCC,2015,Oct,4431
SOL,2015,Oct,3865
SQ,2015,Oct,3398
SVSP,2015,Oct,3765
VSP,2015,Oct,3558
WSP,2015,Oct,5051
ASP,2015,Nov,3361
CAL,2015,Nov,3910
CCC,2015,Nov,3922
CCI,2015,Nov,3741
CEN,2015,Nov,2968
CHCF,2015,Nov,2193
CIM,2015,Nov,3436
CMC,2015,Nov,3955
CMF,2015,Nov,2514
COR,2015,Nov,4300
CRC,2015,Nov,2803
CTF,2015,Nov,5093
CVSP,2015,Nov,2076
DVI,2015,Nov,2624
FOL,2015,Nov,2399
HDSP,2015,Nov,3482
ISP,2015,Nov,3590
KVSP,2015,Nov,3944
LAC,2015,Nov,3569
MCSP,2015,Nov,2801
NKSP,2015,Nov,4027
PBSP,2015,Nov,2515
PVSP,2015,Nov,3057
RJD,2015,Nov,3083
SAC,2015,Nov,2245
SATF,2015,Nov,5557
SCC,2015,Nov,4415
SOL,2015,Nov,3875
SQ,2015,Nov,3506
SVSP,2015,Nov,3693
VSP,2015,Nov,3556
WSP,2015,Nov,4745
ASP,2015,Dec,3387
CAL,2015,Dec,3833
CCC,2015,Dec,3950
CCI,2015,Dec,3664
CEN,2015,Dec,3096
CHCF,2015,Dec,2194
CIM,2015,Dec,3490
CMC,2015,Dec,3976
CMF,2015,Dec,2517
COR,2015,Dec,4191
CRC,2015,Dec,2837
CTF,2015,Dec,5134
CVSP,2015,Dec,2222
DVI,2015,Dec,2646
FOL,2015,Dec,2390
HDSP,2015,Dec,3574
ISP,2015,Dec,3557
KVSP,2015,Dec,3889
LAC,2015,Dec,3559
MCSP,2015,Dec,2814
NKSP,2015,Dec,4053
PBSP,2015,Dec,2424
PVSP,2015,Dec,3107
RJD,2015,Dec,3238
SAC,2015,Dec,2264
SATF,2015,Dec,5482
SCC,2015,Dec,4377
SOL,2015,Dec,3858
SQ,2015,Dec,3717
SVSP,2015,Dec,3662
VSP,2015,Dec,3494
WSP,2015,Dec,4805
ASP,2016,Jan,3299
CAL,2016,Jan,3815
CCC,2016,Jan,3884
CCI,2016,Jan,3564
CEN,2016,Jan,3366
CHCF,2016,Jan,2175
CIM,2016,Jan,3463
CMC,2016,Jan,4061
CMF,2016,Jan,2523
COR,2016,Jan,4122
CRC,2016,Jan,2900
CTF,2016,Jan,5071
CVSP,2016,Jan,2353
DVI,2016,Jan,2663
FOL,2016,Jan,2364
HDSP,2016,Jan,3553
ISP,2016,Jan,3471
KVSP,2016,Jan,3935
LAC,2016,Jan,3553
MCSP,2016,Jan,2808
NKSP,2016,Jan,4141
PBSP,2016,Jan,2284
PVSP,2016,Jan,3127
RJD,2016,Jan,3213
SAC,2016,Jan,2280
SATF,2016,Jan,5369
SCC,2016,Jan,4329
SOL,2016,Jan,3836
SQ,2016,Jan,3780
SVSP,2016,Jan,3663
VSP,2016,Jan,3386
WSP,2016,Jan,4849
ASP,2016,Feb,3292
CAL,2016,Feb,3775
CCC,2016,Feb,3891
CCI,2016,Feb,3421
CEN,2016,Feb,3544
CHCF,2016,Feb,2198
CIM,2016,Feb,3501
CMC,2016,Feb,4065
CMF,2016,Feb,2533
COR,2016,Feb,4131
CRC,2016,Feb,2991
CTF,2016,Feb,5029
CVSP,2016,Feb,2409
DVI,2016,Feb,2359
FOL,2016,Feb,2428
HDSP,2016,Feb,3623
ISP,2016,Feb,3377
KVSP,2016,Feb,3927
LAC,2016,Feb,3520
MCSP,2016,Feb,2818
NKSP,2016,Feb,4132
PBSP,2016,Feb,2266
PVSP,2016,Feb,3160
RJD,2016,Feb,3163
SAC,2016,Feb,2313
SATF,2016,Feb,5285
SCC,2016,Feb,4337
SOL,2016,Feb,3844
SQ,2016,Feb,3854
SVSP,2016,Feb,3642
VSP,2016,Feb,3356
WSP,2016,Feb,5016
ASP,2016,Mar,3205
CAL,2016,Mar,3695
CCC,2016,Mar,3933
CCI,2016,Mar,3276
CEN,2016,Mar,3627
CHCF,2016,Mar,2215
CIM,2016,Mar,3444
CMC,2016,Mar,4095
CMF,2016,Mar,2595
COR,2016,Mar,4073
CRC,2016,Mar,3100
CTF,2016,Mar,5114
CVSP,2016,Mar,2406
DVI,2016,Mar,2056
FOL,2016,Mar,2483
HDSP,2016,Mar,3646
ISP,2016,Mar,3498
KVSP,2016,Mar,3941
LAC,2016,Mar,3539
MCSP,2016,Mar,2822
NKSP,2016,Mar,4353
PBSP,2016,Mar,2211
PVSP,2016,Mar,3222
RJD,2016,Mar,3131
SAC,2016,Mar,2405
SATF,2016,Mar,5097
SCC,2016,Mar,4384
SOL,2016,Mar,3824
SQ,2016,Mar,3986
SVSP,2016,Mar,3681
VSP,2016,Mar,3466
WSP,2016,Mar,5012
ASP,2016,Apr,3202
CAL,2016,Apr,3680
CCC,2016,Apr,3880
CCI,2016,Apr,3202
CEN,2016,Apr,3567
CHCF,2016,Apr,2223
CIM,2016,Apr,3534
CMC,2016,Apr,4129
CMF,2016,Apr,2605
COR,2016,Apr,3870
CRC,2016,Apr,3134
CTF,2016,Apr,5222
CVSP,2016,Apr,2435
DVI,2016,Apr,2211
FOL,2016,Apr,2567
HDSP,2016,Apr,3664
ISP,2016,Apr,3379
KVSP,2016,Apr,4017
LAC,2016,Apr,3549
MCSP,2016,Apr,2982
NKSP,2016,Apr,4408
PBSP,2016,Apr,2165
PVSP,2016,Apr,3248
RJD,2016,Apr,3163
SAC,2016,Apr,2404
SATF,2016,Apr,5060
SCC,2016,Apr,4325
SOL,2016,Apr,3798
SQ,2016,Apr,3926
SVSP,2016,Apr,3593
VSP,2016,Apr,3449
WSP,2016,Apr,5036
ASP,2016,May,3242
CAL,2016,May,3778
CCC,2016,May,3835
CCI,2016,May,3108
CEN,2016,May,3576
CHCF,2016,May,2237
CIM,2016,May,3626
CMC,2016,May,4123
CMF,2016,May,2576
COR,2016,May,3747
CRC,2016,May,3140
CTF,2016,May,5098
CVSP,2016,May,2397
DVI,2016,May,2301
FOL,2016,May,2563
HDSP,2016,May,3696
ISP,2016,May,3274
KVSP,2016,May,4018
LAC,2016,May,3523
MCSP,2016,May,3129
NKSP,2016,May,4410
PBSP,2016,May,2170
PVSP,2016,May,3234
RJD,2016,May,3123
SAC,2016,May,2387
SATF,2016,May,5268
SCC,2016,May,4344
SOL,2016,May,3818
SQ,2016,May,4031
SVSP,2016,May,3740
VSP,2016,May,3403
WSP,2016,May,4768
ASP,2016,Jun,3236
CAL,2016,Jun,3777
CCC,2016,Jun,3799
CCI,2016,Jun,3150
CEN,2016,Jun,3579
CHCF,2016,Jun,2230
CIM,2016,Jun,3640
CMC,2016,Jun,4118
CMF,2016,Jun,2588
COR,2016,Jun,3607
CRC,2016,Jun,3165
CTF,2016,Jun,5042
CVSP,2016,Jun,2349
DVI,2016,Jun,2341
FOL,2016,Jun,2588
HDSP,2016,Jun,3701
ISP,2016,Jun,3246
KVSP,2016,Jun,3960
LAC,2016,Jun,3529
MCSP,2016,Jun,3408
NKSP,2016,Jun,4235
PBSP,2016,Jun,2274
PVSP,2016,Jun,3219
RJD,2016,Jun,3078
SAC,2016,Jun,2387
SATF,2016,Jun,5275
SCC,2016,Jun,4344
SOL,2016,Jun,3845
SQ,2016,Jun,4108
SVSP,2016,Jun,3711
VSP,2016,Jun,3394
WSP,2016,Jun,5105
ASP,2016,Jul,3221
CAL,2016,Jul,3772
CCC,2016,Jul,3795
CCI,2016,Jul,3300
CEN,2016,Jul,3661
CHCF,2016,Jul,2305
CIM,2016,Jul,3660
CMC,2016,Jul,4142
CMF,2016,Jul,2586
COR,2016,Jul,3379
CRC,2016,Jul,3179
CTF,2016,Jul,5076
CVSP,2016,Jul,2335
DVI,2016,Jul,2375
FOL,2016,Jul,2595
HDSP,2016,Jul,3746
ISP,2016,Jul,3178
KVSP,2016,Jul,3907
LAC,2016,Jul,3500
MCSP,2016,Jul,3486
NKSP,2016,Jul,4086
PBSP,2016,Jul,2343
PVSP,2016,Jul,3249
RJD,2016,Jul,3047
SAC,2016,Jul,2349
SATF,2016,Jul,5325
SCC,2016,Jul,4277
SOL,2016,Jul,3888
SQ,2016,Jul,4106
SVSP,2016,Jul,3759
VSP,2016,Jul,3405
WSP,2016,Jul,4853
ASP,2016,Aug,3243
CAL,2016,Aug,3776
CCC,2016,Aug,3988
CCI,2016,Aug,3430
CEN,2016,Aug,3641
CHCF,2016,Aug,2423
CIM,2016,Aug,3667
CMC,2016,Aug,4107
CMF,2016,Aug,2548
COR,2016,Aug,3275
CRC,2016,Aug,3053
CTF,2016,Aug,5170
CVSP,2016,Aug,2346
DVI,2016,Aug,2285
FOL,2016,Aug,2543
HDSP,2016,Aug,3814
ISP,2016,Aug,3161
KVSP,2016,Aug,3890
LAC,2016,Aug,3444
MCSP,2016,Aug,3502
NKSP,2016,Aug,4412
PBSP,2016,Aug,2349
PVSP,2016,Aug,3217
RJD,2016,Aug,3015
SAC,2016,Aug,2311
SATF,2016,Aug,5334
SCC,2016,Aug,4201
SOL,2016,Aug,3986
SQ,2016,Aug,3892
SVSP,2016,Aug,3751
